route,crs_dep_hour,airtime_mean
ACK_LGA,13,49.26470588235294
ACK_LGA,14,46.91489361702128
ACK_LGA,15,49.25373134328358
ACK_LGA,16,49.05555555555556
ACK_LGA,17,48.42592592592592
ACK_LGA,18,49.10526315789474
ACK_LGA,19,49.2
ACK_LGA,21,45.47368421052632
ACK_ORD,13,138.57142857142858
ACK_ORD,14,140.83333333333334
ACK_ORD,15,139.0
ACK_ORD,17,147.31578947368422
ACK_PHL,15,59.94444444444444
ACK_PHL,16,62.49206349206349
ACT_DFW,5,26.723463687150836
ACT_DFW,6,28.564814814814813
ACT_DFW,7,29.38235294117647
ACT_DFW,8,28.518072289156628
ACT_DFW,9,28.08888888888889
ACT_DFW,10,28.93595041322314
ACT_DFW,11,26.369565217391305
ACT_DFW,12,28.20876288659794
ACT_DFW,13,27.183035714285715
ACT_DFW,14,25.454545454545453
ACT_DFW,15,27.37894736842105
ACT_DFW,16,28.566006600660067
ACT_DFW,17,28.166666666666668
ACT_DFW,18,29.02302631578948
ACT_DFW,19,25.846153846153847
ACT_DFW,20,27.97058823529412
ACV_DEN,6,135.06666666666666
ACV_DEN,12,133.7560975609756
ACV_DEN,13,138.09876543209876
ACV_LAX,6,86.65934065934066
ACV_LAX,7,85.50537634408602
ACV_LAX,9,75.0
ACV_LAX,10,87.57894736842105
ACV_LAX,11,84.2439024390244
ACV_LAX,14,86.56521739130434
ACV_LAX,15,84.55555555555556
ACV_LAX,16,85.64285714285714
ACV_LAX,19,89.8
ACV_LAX,20,88.41379310344827
ACV_PHX,5,111.53086419753086
ACV_PHX,6,111.54347826086956
ACV_PHX,8,108.0
ACV_PHX,9,107.2
ACV_PHX,10,111.20833333333331
ACV_PHX,11,113.14285714285714
ACV_PHX,13,117.375
ACV_PHX,14,110.14285714285714
ACV_PHX,15,115.73333333333332
ACV_SFO,5,47.5
ACV_SFO,6,47.3654937570942
ACV_SFO,7,47.333333333333336
ACV_SFO,8,49.2484076433121
ACV_SFO,10,48.95424836601307
ACV_SFO,11,48.7751756440281
ACV_SFO,12,47.5609756097561
ACV_SFO,14,47.646067415730336
ACV_SFO,15,46.76190476190476
ACV_SFO,16,48.43359375
ACV_SFO,17,47.3
ACV_SFO,18,47.04521276595744
ACV_SFO,19,48.30434782608695
ACV_SFO,20,47.96017699115044
ACY_ATL,7,100.75
ACY_ATL,8,91.5
ACY_ATL,9,95.92307692307692
ACY_ATL,10,87.0
ACY_ATL,12,100.6
ACY_ATL,13,102.1625
ACY_ATL,14,102.0
ACY_ATL,15,96.5
ACY_ATL,16,100.1219512195122
ACY_ATL,17,100.16666666666669
ACY_ATL,18,97.0
ACY_BOS,9,52.0
ACY_BOS,17,48.2
ACY_FLL,5,143.375
ACY_FLL,6,136.94541484716157
ACY_FLL,7,135.2508038585209
ACY_FLL,8,137.77777777777777
ACY_FLL,9,132.2
ACY_FLL,10,132.5
ACY_FLL,12,135.83982683982683
ACY_FLL,13,143.65
ACY_FLL,14,127.0
ACY_FLL,15,135.63829787234042
ACY_FLL,16,135.29787234042553
ACY_FLL,17,132.75862068965515
ACY_FLL,18,135.0
ACY_FLL,19,135.40322580645162
